Name,Pos,Off. Role,Minutes,MPG,BPM,OBPM,DBPM,Contribution,VORP
Damiris Dantas,3.2,3.3,9.0,4.5,13.3,14.4,-1.1,0.1,0.09
Dearica Hamby,4.1,1.9,779.0,35.4,4.1,3.4,0.7,3.6,2.95
Rickea Jackson,3.2,3.5,559.0,25.4,-3.8,-1.1,-2.7,-2.4,-0.63
Aari McDonald,1.7,2.1,505.0,23.0,0.6,1.2,-0.6,0.3,0.82
Kia Nurse,2.0,3.7,484.0,22.0,-5.2,-2.6,-2.6,-2.8,-0.96
Lexie Brown,1.6,3.2,379.0,23.7,-3.3,-2.4,-0.9,-1.4,-0.31
Stephanie Talbot,3.2,3.1,333.0,15.9,1.9,0.8,1.1,0.7,0.81
Cameron Brink,5.0,3.7,330.0,22.0,-1.2,-5.1,3.9,-0.4,0.16
Layshia Clarendon,1.7,2.4,286.0,15.9,-0.5,-1.6,1.1,-0.2,0.27
Li Yueru,5.0,3.5,281.0,12.8,-4.8,-2.9,-1.9,-1.5,-0.49
Rae Burrell,2.7,3.8,247.0,13.0,-1.9,-1.5,-0.4,-0.5,0.02
Zia Cooke,2.1,4.1,175.0,9.2,-7.7,-5.8,-1.9,-1.5,-0.62
Azura Stevens,4.1,3.3,54.0,27.0,4.9,1.5,3.4,0.3,0.23
Crystal Dangerfield,1.5,4.5,10.0,5.0,-22.6,-13.6,-9.0,-0.3,-0.13
Queen Egbo,5.0,3.8,4.0,2.0,24.1,14.0,10.1,0.1,0.06
Arike Ogunbowale,1.6,2.0,807.0,38.4,2.9,3.0,-0.1,2.6,2.44
Monique Billings,4.2,3.5,585.0,27.9,-3.5,-2.2,-1.3,-2.3,-0.54
Sevgi Uzun,1.5,3.4,585.0,26.6,-5.7,-4.4,-1.3,-3.7,-1.34
Teaira McCowan,4.8,2.7,556.0,25.3,0.2,0.7,-0.5,0.1,0.76
Maddy Siegrist,3.1,3.3,443.0,34.1,-0.3,2.6,-2.9,-0.1,0.47
Jacy Sheldon,2.3,3.7,439.0,20.0,-4.8,-3.2,-1.6,-2.4,-0.76
Natasha Howard,3.8,2.1,275.0,27.5,3.3,3.2,0.1,1.0,0.9
Kalani Brown,4.6,2.9,270.0,12.9,-2.6,-1.8,-0.8,-0.8,-0.1
Odyssey Sims,1.0,1.8,190.0,31.7,6.4,5.6,0.8,1.4,0.99
Stephanie Soares,5.0,4.8,165.0,9.2,-6.7,-5.3,-1.4,-1.2,-0.48
Lou Lopez Sénéchal,2.0,4.3,94.0,5.2,-9.0,-5.4,-3.6,-1.0,-0.41
Morgan Bertsch,4.0,4.9,22.0,7.3,-23.4,-19.1,-4.3,-0.6,-0.29
Jaelyn Brown,3.4,4.9,19.0,19.0,-16.0,-13.0,-3.0,-0.3,-0.16
